# id,kind,polarity,title,content,tags,confidence,utility,triage_json,antipattern_json,agentId,taskId,summary,whenToUse,howToApply,gotchas,evidence,outcome,validFromIso,validToIso,scopeRepo,scopePackage,scopeModule,scopeRuntime,scopeVersions,concepts,symptoms,filePaths,toolNames,errorSignatures,signals_json,distilled_json,contentHash
id,kind,polarity,title,content,tags,confidence,utility,triage_json,antipattern_json,agentId,taskId,summary,whenToUse,howToApply,gotchas,evidence,outcome,validFromIso,validToIso,scopeRepo,scopePackage,scopeModule,scopeRuntime,scopeVersions,concepts,symptoms,filePaths,toolNames,errorSignatures,signals_json,distilled_json,contentHash
mem_prompt_builder_layout,procedural,positive,Prompt builder three panel layout,Use a three panel layout with editor filters and preview,prompt-builder|ux|ui|agent|memory,0.84,0.35,"{""symptoms"":[""unclear ui"",""user confusion""],""likelyCauses"":[""missing preview""],""verificationSteps"":[""Confirm preview shows cited blocks""],""fixSteps"":[""Add preview panel""],""gotchas"":[""Do not auto run on input""]}",
mem_ux_progressive_disclosure,semantic,positive,Progressive disclosure reduces cognitive load,Show the primary path first and reveal advanced controls when needed,ux|ui|principles|progressive-disclosure,0.85,0.30,,
mem_primary_cta,semantic,positive,Use one primary action button,Prefer a single primary CTA to clarify intent and reduce mistakes,ux|ui|cta,0.80,0.25,,
mem_antipattern_autorun_keystroke,semantic,negative,Anti pattern auto run on every keystroke,Do not run expensive actions on each keystroke,ux|ui|performance|antipattern,0.90,0.20,,"{""action"":""Auto running agent on every keystroke"",""whyBad"":""Causes cost spikes and poor UX"",""saferAlternative"":""Use explicit Retrieve and Run buttons""}"
mem_async_ui_states,semantic,positive,Expose async states clearly,Show loading success and error states in place and keep messages visible,ux|ui|async,0.80,0.25,,
mem_a11y_semantic_html,semantic,positive,Prefer semantic HTML for forms,Use labels and aria attributes to make errors discoverable,accessibility|html|forms,0.82,0.25,,
mem_antipattern_toast_only_errors,semantic,negative,Anti pattern toast only validation errors,Avoid toast only errors because users miss them,ux|ui|forms|antipattern,0.88,0.20,,"{""action"":""Showing validation errors only in toasts"",""whyBad"":""Users miss critical feedback"",""saferAlternative"":""Inline errors next to fields""}"
mem_episode_toast_abandonment,episodic,negative,Episode toast errors caused abandonment,Toast only errors led to abandonment during testing,episodic|ux|forms,0.75,0.15,,
mem_episode_hydration_fix,episodic,positive,Episode fixed React hydration mismatch,Removed non deterministic server values from initial render,react19|episodic,0.78,0.20,,
mem_episode_autorefresh_cost_spike,episodic,negative,Episode auto refresh caused cost spike,Auto refresh on input caused many API calls,episodic|performance,0.78,0.15,,
